Papel,Tam. médio candle,Volume médio,Fragilidade,Antifragilidade,Risco
ABEV3,0.014184371837691235,7129487.920036265,0.0015526487879598582,0.00027021461226265286,5.745983812491454
BBDC4,0.06345571697902379,19800500.777359582,0.00019741947581950256,5.38784469546955e-05,3.6641641876853965
BOVA11,0.4209257233003526,3895912.2218543044,0.00010358114786575294,1.3024994310767867e-05,7.95249083372893
CIEL3,0.043978442224191124,13189955.719298245,0.00020971264126863216,4.993739673238004e-05,4.1995108874518445
CSNA3,0.2245350725164573,12493069.777537797,0.00013334344859473714,2.202826476305965e-05,6.053288810035902
GGBR4,0.06867958145936856,265797693.21920088,8.069658887085888e-05,1.3068133567436331e-05,6.17506612206212
ITUB4,0.04999171677413763,45444865.19816549,0.00031768616089363616,8.07182633445387e-05,3.9357407819544026
ITSA4,0.006315331678678185,16434085.393553087,9.145375870629213e-05,2.637500738096074e-05,3.467440118038019
PETR4,0.4307568260073822,588719443.065922,0.00011620692562717833,2.2470966335750073e-05,5.171425380238299
USIM5,0.05647676184609346,14797292.651531728,5.281094369426847e-05,9.474964990191781e-06,5.573734968829635
VALE3,0.29840251231961523,10002992.410958905,0.00045044760666234284,9.884453731268247e-05,4.557132026804957
BRFS3,39.85654790857448,3110452.625179856,9.232511964674708e-05,1.640140135891809e-05,5.629099466951723
EMBR3,0.06512869916237007,2782388.8306335495,7.439390193077113e-05,3.4527907415994003e-06,21.546021030023507
SUZB3,0.2259388957255725,2553227.7719482337,0.0001375463140546457,7.421618636752612e-06,18.53319616471565
MRFG3,0.05493693473503864,3740133.7577931033,6.784328310276665e-05,2.408019519048803e-06,28.173892514611165
JBSS3,0.06850295244330452,7581214.169468546,0.00011556124065876696,2.3853682401418152e-05,4.844587041701226
B3SA3,0.12222026943880109,16133591.120149253,0.0003725626008027729,6.442885165523685e-05,5.7825429327280355
BBSE3,0.11603571890307793,4771581.727396638,0.0005660141911093027,0.00016673475799711248,3.394698249534179
CMIG4,380533.2957960325,4773147.549772521,0.00014687159354010684,3.2636122519795454e-05,4.500277061131322
