Papéis,Porcentagem,Retorno,Risco,Ret./Risco
ABEV3,0.36,0.058341133592880234,0.001385881771143052,42.096760926988345
BBDC4,5.03,0.11904784947844878,0.00019991390077331376,595.4956059480799
BOVA11,3.75,0.05300556085151585,0.00011947343012827427,443.65982289623486
CIEL3,5.34,0.13089588298735988,0.00020729778175406735,631.4388985727369
CSNA3,11.9,0.19045773539257765,0.00013526351953178567,1408.0495321417527
GGBR4,16.8,0.1732497465716755,8.716569720457484e-05,1987.590900180198
ITUB4,3.21,0.1246210711085751,0.0003284757619289111,379.39198428755196
ITSA4,11.54,0.12473091579214218,9.1330933953331e-05,1365.7028390389414
PETR4,9.06,0.12801464053514475,0.00011937344130188864,1072.3879544647039
USIM5,30.43,0.200094849721266,5.55716794272163e-05,3600.6622758870467
VALE3,2.59,0.14009619608103355,0.00045701931175478813,306.5432739441908
